modifier	subject_verb	by_agent
	Amvrosiivka_occupied	by_Russian_paratroopers_by_armoured_vehicles_artillery
	Cyberwarfare_used	by_Russia
	Donetsk_plagued	by_fighting
	Explosions_caused	by_long_range_missiles_Ukraine_by_United_Kingdom
	Guterres_received	by_President_Vladimir_Putin
	Masha_played	by_nonprofessional_actors_considerable
	Medvedev_described	by_Ukrainian_media
	Moldova_attacked	by_Russia
	Mykolaiv_hit	by_strikes
	Mykolaiv_shelled	by_Russian_forces
	Others_sheltered	by_friends
	Reports_reported	by_Ukrainska_Pravda
	Russia_led	by_presidents
	Russians_thwarted	by_combination_factors_geography_modern_smartphones_foam_mat
	Shapps_warned	by_British_intelligence
	Symbols_sized	by_minimum_number_days
	Ukraine_led	by_presidents
	Ukraine_ruled	by_Nazi_government
	Ukrainians_held	by_Russia
	Ukrainians_killed	by_Russian_forces
	Use_banned	by_many_countries
	Yanukovych_removed	by_parliament
	advance_slowed	by_resistance
	agreement_brought	by_representative_Russian_Federation
	allegations_denied	by_South_African_president_Cyril_Ramaphosa
	alliance_cemented	by_conflict
	areas_controlled	by_backed_separatists
	areas_controlled	by_installed_leaders
	attack_captured	by_Baykar_Bayraktar_TB2_drone
	attack_claimed	by_hacker_cooperative
	attacks_repelled	by_selfless_actions_Russian_military_personnel
	ban_reported	by_Wall_Street_Journal
	base_destroyed	by_Ukrainian_artillery
	borders_guarded	by_groups_people_police_traffic
	bridges_used	by_civilian_traffic
	campaigns_countered	by_competent_Ukraine_messaging_social_media_campaigns_broader_outreach_global_community
	city_battered	by_weeks_Russian_bombardment
	city_devastated	by_Russian_shelling
	claim_corroborated	by_Ukrainian_parliament_Operational_Command
	claim_used	by_President_Vladimir_V._Putin
	claims_dismissed	by_international_community
	comments_distorted	by_Western_media
	conflict_marked	by_artillery_duels_special_forces_trench
	contest_won	by_Kalush_Orchestra_folk_rap_Ukraine
	deaths_caused	by_explosive_weapons_wide_area_effects
	deaths_confirmed	by_government
	decision_made	by_Putin_small_war_hawks_inner_circle_national_security_adviser_Nikolai_Patrushev_defense_minister_Sergei
	demand_seen	by_West
	difficulty_accentuated	by_geography
	documents_provided	by_whistleblower_employee_continued_involvement_Russia_invasion_Ukraine
	efforts_complemented	by_private_sector_firms_Kyiv_additional_defensible_Ukrainian
	enemy_struck	by_aviation_missile
	evacuation_thwarted	by_Russian_military
	explosion_caused	by_bomb
	images_verified	by_Associated_Press
	invasion_preceded	by_territorial_proclaimed_republics_Luhansk
	lawyer_told	by_penal_investigative_committee
